"","id","atlas_id","name","acronym","st_level","ontology_id","hemisphere_id","weight","parent_structure_id","depth","graph_id","graph_order","structure_id_path","color_hex_triplet","neuro_name_structure_id","neuro_name_structure_id_path","failed","sphinx_id","structure_name_facet","failed_facet","safe_name","col"
"10153",10153,NA,"neural plate","NP",NA,11,3,8660,NA,0,16,0,"/10153/","D7D8D8",NA,NA,"f",6600,3041346888,734881840,"neural plate","#D7D8D8"
"10154",10154,NA,"neural tube","NT",NA,11,3,8660,10153,1,16,1,"/10153/10154/","D0D0D1",NA,NA,"f",6601,1172862311,734881840,"neural tube","#D0D0D1"
"10155",10155,NA,"brain","Br",NA,11,3,8660,10154,2,16,2,"/10153/10154/10155/","E0E0E0",NA,NA,"f",6602,3016132225,734881840,"brain","#E0E0E0"
"10156",10156,NA,"forebrain (prosencephalon)","F",NA,11,3,8660,10155,3,16,3,"/10153/10154/10155/10156/","EBD6D0",NA,NA,"f",6603,2015023488,734881840,"forebrain (prosencephalon)","#EBD6D0"
"10157",10157,NA,"gray matter of forebrain","FGM",NA,11,3,8660,10156,4,16,4,"/10153/10154/10155/10156/10157/","EBD6D0",NA,NA,"f",6604,545890574,734881840,"gray matter of forebrain","#EBD6D0"
"10158",10158,NA,"telencephalon","Tel",NA,11,3,8660,10157,5,16,657,"/10153/10154/10155/10156/10157/10158/","EBD6D0",NA,NA,"f",7257,2480649783,734881840,"telencephalon","#EBD6D0"
"10331",10331,NA,"cerebral nuclei","CN",NA,11,3,8660,10158,6,16,1759,"/10153/10154/10155/10156/10157/10158/10331/","D7E9C3",NA,NA,"f",8359,1478775071,734881840,"cerebral nuclei","#D7E9C3"
"10361",10361,NA,"amygdaloid complex","AMY",NA,11,3,8660,10331,7,16,1760,"/10153/10154/10155/10156/10157/10158/10331/10361/","C9E2B1",NA,NA,"f",8360,3865625403,734881840,"amygdaloid complex","#C9E2B1"
"10366",10366,NA,"basolateral nuclear group","BLN",NA,11,3,8660,10361,8,16,1793,"/10153/10154/10155/10156/10157/10158/10331/10361/10366/","A6D17A",NA,NA,"f",8393,867419596,734881840,"basolateral nuclear group","#A6D17A"
"10368",10368,NA,"basolateral nucleus (basal nucleus)","BL",NA,11,3,8660,10366,9,16,1805,"/10153/10154/10155/10156/10157/10158/10331/10361/10366/10368/","89BA46",NA,NA,"f",8405,1790905196,734881840,"basolateral nucleus (basal nucleus)","#89BA46"
