acronym	name	id	FBbt	parent_structure_id	structure_id_path	graph_depth	has_children
AME_R	accessory medulla	2	FBbt:00045003	87	/105/87/	3	FALSE
LO_R	lobula	3	FBbt:00003852	99	/105/87/99/	4	FALSE
NO	nodulus	4	FBbt:00003680	89	/105/89/	3	FALSE
BU_R	bulb	5	FBbt:00003682	90	/105/90/	3	FALSE
PB	protocerebral bridge	6	FBbt:00003668	89	/105/89/	3	FALSE
LH_R	lateral horn	7	lateral horn	92	/105/92/	3	FALSE
LAL_R	lateral accessory lobe	8	FBbt:00003681	90	/105/90/	3	FALSE
SAD	saddle	9	FBbt:00045048	97	/105/97/	3	FALSE
CAN_R	cantle	10	FBbt:00045051	97	/105/97/	3	FALSE
AMMC_R	antennal mechanosensory and motor center	11	FBbt:00003982	9	/105/97/9/	4	FALSE
ICL_R	inferior clamp	12	FBbt:00040049	102	/105/94/102/	4	FALSE
VES_R	vest	13	FBbt:00040041	103	/105/96/103/	4	FALSE
IB_R	inferior bridge	14	FBbt:00040050	94	/105/94/	3	FALSE
ATL_R	antler	15	FBbt:00045039	94	/105/94/	3	FALSE
CRE_R	crepine	16	FBbt:00045037	94	/105/94/	3	FALSE
MB_PED_R	pedunculus of adult mushroom body	17	FBbt:00007453	88	/105/88/	3	FALSE
MB_VL_R	vertical lobe of adult mushroom body	18	FBbt:00015407	88	/105/88/	3	FALSE
MB_ML_R	medial lobe of adult mushroom body	19	FBbt:00007677	88	/105/88/	3	FALSE
FLA_R	flange	20	FBbt:00045050	97	/105/97/	3	FALSE
LOP_R	lobula plate	22	FBbt:00003885	99	/105/87/99/	4	FALSE
EB	ellipsoid body	23	FBbt:00003678	100	/105/89/100/	4	FALSE
AL_R	adult antennal lobe	24	FBbt:00007401	95	/105/95/	3	FALSE
ME_R	medulla	25	FBbt:00003748	87	/105/87/	3	FALSE
FB	fan-shaped body	26	FBbt:00003679	100	/105/89/100/	4	FALSE
SLP_R	superior lateral protocerebrum	27	FBbt:00007054	93	/105/93/	3	FALSE
SIP_R	superior intermediate protocerebrum	28	FBbt:00045032	93	/105/93/	3	FALSE
