"acronym"	"name"	"id"	"FBbt"	"parent_structure_id"	"structure_id_path"	"graph_depth"	"has_children"	"col"
"1"	"AME_R"	"accessory medulla"	2	"FBbt:00045003"	87	"/105/87/"	3	FALSE	"white"
"2"	"LO_R"	"lobula"	3	"FBbt:00003852"	99	"/105/87/99/"	4	FALSE	"white"
"3"	"NO"	"nodulus"	4	"FBbt:00003680"	89	"/105/89/"	3	FALSE	"white"
"4"	"BU_R"	"bulb"	5	"FBbt:00003682"	90	"/105/90/"	3	FALSE	"white"
"5"	"PB"	"protocerebral bridge"	6	"FBbt:00003668"	89	"/105/89/"	3	FALSE	"white"
"6"	"LH_R"	"lateral horn"	7	"lateral horn"	92	"/105/92/"	3	FALSE	"white"
"7"	"LAL_R"	"lateral accessory lobe"	8	"FBbt:00003681"	90	"/105/90/"	3	FALSE	"white"
"8"	"SAD"	"saddle"	9	"FBbt:00045048"	97	"/105/97/"	3	FALSE	"white"
"9"	"CAN_R"	"cantle"	10	"FBbt:00045051"	97	"/105/97/"	3	FALSE	"white"
"10"	"AMMC_R"	"antennal mechanosensory and motor center"	11	"FBbt:00003982"	9	"/105/97/9/"	4	FALSE	"white"
"11"	"ICL_R"	"inferior clamp"	12	"FBbt:00040049"	102	"/105/94/102/"	4	FALSE	"white"
"12"	"VES_R"	"vest"	13	"FBbt:00040041"	103	"/105/96/103/"	4	FALSE	"white"
"13"	"IB_R"	"inferior bridge"	14	"FBbt:00040050"	94	"/105/94/"	3	FALSE	"white"
"14"	"ATL_R"	"antler"	15	"FBbt:00045039"	94	"/105/94/"	3	FALSE	"white"
"15"	"CRE_R"	"crepine"	16	"FBbt:00045037"	94	"/105/94/"	3	FALSE	"white"
"16"	"MB_PED_R"	"pedunculus of adult mushroom body"	17	"FBbt:00007453"	88	"/105/88/"	3	FALSE	"white"
"17"	"MB_VL_R"	"vertical lobe of adult mushroom body"	18	"FBbt:00015407"	88	"/105/88/"	3	FALSE	"white"
"18"	"MB_ML_R"	"medial lobe of adult mushroom body"	19	"FBbt:00007677"	88	"/105/88/"	3	FALSE	"white"
"19"	"FLA_R"	"flange"	20	"FBbt:00045050"	97	"/105/97/"	3	FALSE	"white"
"20"	"LOP_R"	"lobula plate"	22	"FBbt:00003885"	99	"/105/87/99/"	4	FALSE	"white"
"21"	"EB"	"ellipsoid body"	23	"FBbt:00003678"	100	"/105/89/100/"	4	FALSE	"white"
"22"	"AL_R"	"adult antennal lobe"	24	"FBbt:00007401"	95	"/105/95/"	3	FALSE	"white"
"23"	"ME_R"	"medulla"	25	"FBbt:00003748"	87	"/105/87/"	3	FALSE	"white"
"24"	"FB"	"fan-shaped body"	26	"FBbt:00003679"	100	"/105/89/100/"	4	FALSE	"white"
"25"	"SLP_R"	"superior lateral protocerebrum"	27	"FBbt:00007054"	93	"/105/93/"	3	FALSE	"white"
"26"	"SIP_R"	"superior intermediate protocerebrum"	28	"FBbt:00045032"	93	"/105/93/"	3	FALSE	"white"
"27"	"SMP_R"	"superior medial protocerebrum"	29	"FBbt:00007055"	93	"/105/93/"	3	FALSE	"white"
"28"	"AVLP_R"	"anterior ventrolateral protocerebrum"	30	"FBbt:00040043"	101	"/105/91/101/"	4	FALSE	"white"
"29"	"PVLP_R"	"posterior ventrolateral protocerebrum"	31	"FBbt:00040042"	101	"/105/91/101/"	4	FALSE	"white"
"30"	"IVLP_R"	"wedge"	32	"FBbt:00045027"	91	"/105/91/"	3	FALSE	"white"
"31"	"PLP_R"	"posterior lateral protocerebrum"	33	"FBbt:00040044"	91	"/105/91/"	3	FALSE	"white"
"32"	"AOTU_R"	"anterior optic tubercle"	34	"FBbt:00007059"	91	"/105/91/"	3	FALSE	"white"
"33"	"GOR_R"	"gorget"	35	"FBbt:00040039"	103	"/105/96/103/"	4	FALSE	"white"
"34"	"MB_CA_R"	"calyx of adult mushroom body"	36	"FBbt:00007385"	88	"/105/88/"	3	FALSE	"white"
"35"	"SPS_R"	"superior posterior slope"	37	"FBbt:00045040"	104	"/105/96/104/"	4	FALSE	"white"
"36"	"IPS_R"	"inferior posterior slope"	38	"FBbt:00045046"	104	"/105/96/104/"	4	FALSE	"white"
"37"	"SCL_R"	"superior clamp"	39	"FBbt:00040048"	102	"/105/94/102/"	4	FALSE	"white"
"38"	"EPA_R"	"epaulette"	40	"FBbt:00040040"	103	"/105/96/103/"	4	FALSE	"white"
"39"	"GNG"	"adult gnathal ganglion"	49	"FBbt:00014013"	105	"/105/98/"	3	FALSE	"white"
"40"	"PRW"	"prow"	50	"FBbt:00040051"	97	"/105/97/"	3	FALSE	"white"
"41"	"GA_R"	"gall"	51	"FBbt:00040060"	90	"/105/90/"	3	FALSE	"white"
"42"	"AME_L"	"accessory medulla"	52	"FBbt:00045003"	87	"/105/87/"	3	FALSE	"white"
"43"	"LO_L"	"lobula"	53	"FBbt:00003852"	99	"/105/87/99/"	4	FALSE	"white"
